algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,config_name,family,variant,t0,tf,alpha,gamma,epsilon,policy,fallback
sa-omp,eil101,101,1000000,401,nn,64,8,omp,639,639,384.963,9021999,4298123,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,402,nn,64,8,omp,632,632,384.304,9022563,4300088,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,403,nn,64,8,omp,639,640,378.944,9025373,4301212,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,404,nn,64,8,omp,638,639,374.883,9019420,4296820,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,405,nn,64,8,omp,639,639,383.053,9025777,4300630,eil101-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,401,nn,128,8,omp,631,631,734.715,18047343,8598085,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,402,nn,128,8,omp,632,632,729.652,18043542,8596665,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,403,nn,128,8,omp,633,633,726.375,18048057,8599463,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,404,nn,128,8,omp,635,635,705.785,18047404,8597822,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,1000000,405,nn,128,8,omp,639,639,752.633,18048381,8596366,eil101-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,401,nn,64,8,omp,630,631,768.687,18023079,8583279,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,402,nn,64,8,omp,634,634,746.898,18015152,8578922,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,403,nn,64,8,omp,633,633,719.176,18018498,8577728,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,404,nn,64,8,omp,634,634,736.827,18022484,8581919,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,405,nn,64,8,omp,637,637,709.716,18021792,8582587,eil101-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,401,nn,128,8,omp,629,629,1463.845,36046244,17167683,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,402,nn,128,8,omp,630,630,1481.348,36032355,17159096,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,403,nn,128,8,omp,633,633,1483.004,36039119,17158517,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,404,nn,128,8,omp,634,634,1426.308,36045261,17164842,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
sa-omp,eil101,101,2000000,405,nn,128,8,omp,634,634,1478.243,36043091,17161234,eil101-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,100,0.001,,,,,0
qlsa-omp,eil101,101,1000000,401,nn,64,8,omp,636,637,843.298,18048546,8542951,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,402,nn,64,8,omp,629,629,727.694,18048464,8545173,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,403,nn,64,8,omp,639,640,671.442,18054243,8545483,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,404,nn,64,8,omp,637,637,692.000,18055834,8542485,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,405,nn,64,8,omp,635,637,681.514,18054816,8545260,eil101-qlsa-tuned-high-budget-it1000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,401,nn,128,8,omp,636,637,1744.257,36113591,17087189,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,402,nn,128,8,omp,629,629,1593.283,36119257,17093104,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,403,nn,128,8,omp,630,630,1469.473,36106594,17092213,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,404,nn,128,8,omp,635,635,1471.762,36123739,17090113,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,1000000,405,nn,128,8,omp,635,637,1408.355,36108583,17092094,eil101-qlsa-tuned-high-budget-it1000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,401,nn,64,8,omp,633,634,1944.535,36091085,17077049,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,402,nn,64,8,omp,635,635,1447.368,36094306,17077082,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,403,nn,64,8,omp,630,630,1387.927,36085747,17078488,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,404,nn,64,8,omp,634,635,1398.213,36083698,17079350,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,405,nn,64,8,omp,630,630,1334.091,36084613,17070461,eil101-qlsa-tuned-high-budget-it2000000-c64,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,401,nn,128,8,omp,631,632,3506.468,72174305,34149983,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,402,nn,128,8,omp,630,630,3394.078,72193719,34152865,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,403,nn,128,8,omp,630,630,2801.532,72182260,34159698,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,404,nn,128,8,omp,632,633,2915.637,72167056,34160962,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,eil101,101,2000000,405,nn,128,8,omp,629,629,2870.113,72180863,34140077,eil101-qlsa-tuned-high-budget-it2000000-c128,qlsa,tuned-high-budget,1000,0.001,0.1,0.8,0.05,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,401,nn,64,8,omp,1216,1216,1699.384,27541115,13141055,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,402,nn,64,8,omp,1212,1212,1484.673,27526007,13143093,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,403,nn,64,8,omp,1214,1214,1497.917,27540897,13139034,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,404,nn,64,8,omp,1214,1219,1446.889,27528802,13139804,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,405,nn,64,8,omp,1213,1213,1402.530,27516031,13134807,rat99-qlsa-quality-first-high-budget-it2000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,401,nn,128,8,omp,1215,1215,3643.819,55060791,26279532,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,402,nn,128,8,omp,1212,1212,2742.784,55054604,26280533,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,403,nn,128,8,omp,1212,1212,2692.357,55056303,26278592,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,404,nn,128,8,omp,1212,1212,2738.972,55052270,26279717,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,2000000,405,nn,128,8,omp,1213,1213,2832.226,55048547,26275229,rat99-qlsa-quality-first-high-budget-it2000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,401,nn,64,8,omp,1213,1213,2852.558,41266632,19699444,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,402,nn,64,8,omp,1211,1218,2306.747,41266073,19701679,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,403,nn,64,8,omp,1213,1213,2228.394,41279089,19706417,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,404,nn,64,8,omp,1212,1212,1997.580,41263423,19705930,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,405,nn,64,8,omp,1215,1215,1981.524,41277248,19708940,rat99-qlsa-quality-first-high-budget-it3000000-c64,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,401,nn,128,8,omp,1213,1213,4684.045,82541216,39401952,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,402,nn,128,8,omp,1211,1218,5688.129,82529227,39406263,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,403,nn,128,8,omp,1212,1212,4368.811,82565706,39412138,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,404,nn,128,8,omp,1211,1211,4262.722,82541921,39405925,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
qlsa-omp,rat99,99,3000000,405,nn,128,8,omp,1214,1214,15033.388,82541402,39409008,rat99-qlsa-quality-first-high-budget-it3000000-c128,qlsa,quality-first-high-budget,1000,0.001,0.2,0.95,0.2,epsilon-greedy,0
sa-omp,rat99,99,1000000,401,nn,64,8,omp,1222,1222,406.726,17044868,8338923,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,402,nn,64,8,omp,1221,1221,409.843,17043361,8339247,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,403,nn,64,8,omp,1216,1216,409.007,17036746,8335871,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,404,nn,64,8,omp,1219,1219,400.315,17040446,8335010,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,405,nn,64,8,omp,1218,1218,400.427,17040121,8338067,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,401,nn,128,8,omp,1222,1222,857.003,34088422,16675761,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,402,nn,128,8,omp,1216,1216,861.546,34086078,16677408,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,403,nn,128,8,omp,1216,1216,863.812,34076291,16671802,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,404,nn,128,8,omp,1219,1219,835.390,34082927,16674214,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,405,nn,128,8,omp,1216,1216,770.772,34081279,16675213,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,401,nn,64,8,omp,1218,1218,780.151,34058247,16660623,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,402,nn,64,8,omp,1216,1216,778.390,34059266,16660513,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,403,nn,64,8,omp,1215,1215,790.314,34057188,16658741,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,404,nn,64,8,omp,1213,1213,825.840,34060619,16664073,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,405,nn,64,8,omp,1216,1216,801.021,34055959,16658597,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,401,nn,128,8,omp,1218,1218,1579.489,68118879,33324159,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,402,nn,128,8,omp,1213,1213,1561.588,68119567,33320875,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,403,nn,128,8,omp,1214,1214,1581.283,68113805,33316978,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,404,nn,128,8,omp,1213,1213,1601.540,68116292,33322935,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,405,nn,128,8,omp,1212,1212,1536.240,68117526,33318383,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
