algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,qlsa_variant,policy,diversity_threshold,log_file
qlsa-omp,berlin52,52,300000,401,nn,32,8,omp,7542,7542,157.710,983825,451754,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_current_epsilon-greedy_na_20260623_005737_912495.log
qlsa-omp,berlin52,52,300000,402,nn,32,8,omp,7542,7542,161.021,983709,451907,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_current_epsilon-greedy_na_20260623_005737_912495.log
qlsa-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,133.518,978395,453828,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_current_epsilon-greedy_na_20260623_005737_912495.log
qlsa-omp,berlin52,52,300000,401,nn,32,8,omp,7542,7542,268.799,935109,453953,current,softmax,,results\logs\qlsa_variant_alignment\berlin52_current_softmax_na_20260623_005738_418982.log
qlsa-omp,berlin52,52,300000,402,nn,32,8,omp,7542,7542,267.556,936762,453790,current,softmax,,results\logs\qlsa_variant_alignment\berlin52_current_softmax_na_20260623_005738_418982.log
qlsa-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,273.987,946090,458482,current,softmax,,results\logs\qlsa_variant_alignment\berlin52_current_softmax_na_20260623_005738_418982.log
qlsa-paper-omp,berlin52,52,300000,401,nn,32,8,omp,7542,7542,600.076,5525529,157681,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_paper_epsilon-greedy_na_20260623_005739_241592.log
qlsa-paper-omp,berlin52,52,300000,402,nn,32,8,omp,7714,7714,609.254,5522400,156887,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_paper_epsilon-greedy_na_20260623_005739_241592.log
qlsa-paper-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,579.415,5527446,155660,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\berlin52_paper_epsilon-greedy_na_20260623_005739_241592.log
qlsa-paper-omp,berlin52,52,300000,401,nn,32,8,omp,7715,7715,686.252,5583244,173708,paper,softmax,,results\logs\qlsa_variant_alignment\berlin52_paper_softmax_na_20260623_005741_042682.log
qlsa-paper-omp,berlin52,52,300000,402,nn,32,8,omp,7741,7741,722.301,5593959,173270,paper,softmax,,results\logs\qlsa_variant_alignment\berlin52_paper_softmax_na_20260623_005741_042682.log
qlsa-paper-omp,berlin52,52,300000,403,nn,32,8,omp,7542,7542,710.131,5546548,179739,paper,softmax,,results\logs\qlsa_variant_alignment\berlin52_paper_softmax_na_20260623_005741_042682.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7745,7745,596.684,5751013,144666,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.30_20260623_005743_176440.log
qlsa-paper-sb-omp,berlin52,52,300000,402,nn,32,8,omp,7741,7741,596.906,5772292,146715,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.30_20260623_005743_176440.log
qlsa-paper-sb-omp,berlin52,52,300000,403,nn,32,8,omp,7715,7715,578.293,5769972,149014,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.30_20260623_005743_176440.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7715,7715,603.375,5845310,150490,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.50_20260623_005744_963752.log
qlsa-paper-sb-omp,berlin52,52,300000,402,nn,32,8,omp,7745,7745,584.787,5840044,152205,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.50_20260623_005744_963752.log
qlsa-paper-sb-omp,berlin52,52,300000,403,nn,32,8,omp,7741,7741,571.011,5828396,148515,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.50_20260623_005744_963752.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7741,7741,580.866,5871720,155857,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.70_20260623_005746_737460.log
qlsa-paper-sb-omp,berlin52,52,300000,402,nn,32,8,omp,7715,7715,587.537,5858668,153771,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.70_20260623_005746_737460.log
qlsa-paper-sb-omp,berlin52,52,300000,403,nn,32,8,omp,7715,7715,493.717,5868012,154450,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\berlin52_paper-sb_epsilon-greedy_0.70_20260623_005746_737460.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7715,7715,649.169,5431358,150759,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.30_20260623_005748_412343.log
qlsa-paper-sb-omp,berlin52,52,300000,402,nn,32,8,omp,7749,7749,680.219,5333504,151180,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.30_20260623_005748_412343.log
qlsa-paper-sb-omp,berlin52,52,300000,403,nn,32,8,omp,7741,7741,649.653,5333522,149310,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.30_20260623_005748_412343.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7741,7741,654.989,5492192,166695,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.50_20260623_005750_404900.log
qlsa-paper-sb-omp,berlin52,52,300000,402,nn,32,8,omp,7745,7745,651.668,5498353,154005,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.50_20260623_005750_404900.log
qlsa-paper-sb-omp,berlin52,52,300000,403,nn,32,8,omp,7715,7715,644.432,5454848,145011,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.50_20260623_005750_404900.log
qlsa-paper-sb-omp,berlin52,52,300000,401,nn,32,8,omp,7715,7715,647.909,5560511,161884,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.70_20260623_005752_369551.log
qlsa-paper-sb-omp,berlin52,52,300000,402,nn,32,8,omp,7741,7741,639.389,5595057,161658,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.70_20260623_005752_369551.log
qlsa-paper-sb-omp,berlin52,52,300000,403,nn,32,8,omp,7658,7658,633.027,5494685,147613,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\berlin52_paper-sb_softmax_0.70_20260623_005752_369551.log
qlsa-omp,eil76,76,300000,401,nn,32,8,omp,552,552,165.139,2739694,1287968,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil76_current_epsilon-greedy_na_20260623_005754_302784.log
qlsa-omp,eil76,76,300000,402,nn,32,8,omp,549,549,142.256,2736764,1288269,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil76_current_epsilon-greedy_na_20260623_005754_302784.log
qlsa-omp,eil76,76,300000,403,nn,32,8,omp,548,548,144.509,2738823,1289824,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil76_current_epsilon-greedy_na_20260623_005754_302784.log
qlsa-omp,eil76,76,300000,401,nn,32,8,omp,551,551,230.724,2745660,1287980,current,softmax,,results\logs\qlsa_variant_alignment\eil76_current_softmax_na_20260623_005754_779236.log
qlsa-omp,eil76,76,300000,402,nn,32,8,omp,551,551,237.349,2756903,1288176,current,softmax,,results\logs\qlsa_variant_alignment\eil76_current_softmax_na_20260623_005754_779236.log
qlsa-omp,eil76,76,300000,403,nn,32,8,omp,550,550,225.767,2746214,1287096,current,softmax,,results\logs\qlsa_variant_alignment\eil76_current_softmax_na_20260623_005754_779236.log
qlsa-paper-omp,eil76,76,300000,401,nn,32,8,omp,543,543,580.987,6074077,874140,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil76_paper_epsilon-greedy_na_20260623_005755_485297.log
qlsa-paper-omp,eil76,76,300000,402,nn,32,8,omp,547,547,549.853,6071096,875301,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil76_paper_epsilon-greedy_na_20260623_005755_485297.log
qlsa-paper-omp,eil76,76,300000,403,nn,32,8,omp,541,541,537.332,6071090,873818,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil76_paper_epsilon-greedy_na_20260623_005755_485297.log
qlsa-paper-omp,eil76,76,300000,401,nn,32,8,omp,538,538,727.153,5965500,920046,paper,softmax,,results\logs\qlsa_variant_alignment\eil76_paper_softmax_na_20260623_005757_166934.log
qlsa-paper-omp,eil76,76,300000,402,nn,32,8,omp,546,546,728.982,5903106,953217,paper,softmax,,results\logs\qlsa_variant_alignment\eil76_paper_softmax_na_20260623_005757_166934.log
qlsa-paper-omp,eil76,76,300000,403,nn,32,8,omp,547,547,674.329,5980536,934133,paper,softmax,,results\logs\qlsa_variant_alignment\eil76_paper_softmax_na_20260623_005757_166934.log
qlsa-paper-sb-omp,eil76,76,300000,401,nn,32,8,omp,547,547,645.493,5963595,813263,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.30_20260623_005759_310817.log
qlsa-paper-sb-omp,eil76,76,300000,402,nn,32,8,omp,545,545,600.811,5992622,810236,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.30_20260623_005759_310817.log
qlsa-paper-sb-omp,eil76,76,300000,403,nn,32,8,omp,543,543,602.262,5961248,812706,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.30_20260623_005759_310817.log
qlsa-paper-sb-omp,eil76,76,300000,401,nn,32,8,omp,548,548,617.416,6024484,751131,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.50_20260623_005801_173870.log
qlsa-paper-sb-omp,eil76,76,300000,402,nn,32,8,omp,546,546,592.203,6050554,754936,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.50_20260623_005801_173870.log
qlsa-paper-sb-omp,eil76,76,300000,403,nn,32,8,omp,547,547,578.888,6017128,752042,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.50_20260623_005801_173870.log
qlsa-paper-sb-omp,eil76,76,300000,401,nn,32,8,omp,538,538,625.301,6069344,691539,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.70_20260623_005802_974106.log
qlsa-paper-sb-omp,eil76,76,300000,402,nn,32,8,omp,543,543,600.522,6093180,696384,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.70_20260623_005802_974106.log
qlsa-paper-sb-omp,eil76,76,300000,403,nn,32,8,omp,542,542,573.351,6081874,700786,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil76_paper-sb_epsilon-greedy_0.70_20260623_005802_974106.log
qlsa-paper-sb-omp,eil76,76,300000,401,nn,32,8,omp,546,546,795.273,5727911,824788,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.30_20260623_005804_788355.log
qlsa-paper-sb-omp,eil76,76,300000,402,nn,32,8,omp,548,548,808.229,5463388,858677,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.30_20260623_005804_788355.log
qlsa-paper-sb-omp,eil76,76,300000,403,nn,32,8,omp,546,546,717.203,5732282,850975,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.30_20260623_005804_788355.log
qlsa-paper-sb-omp,eil76,76,300000,401,nn,32,8,omp,543,543,783.886,5668433,741891,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.50_20260623_005807_123445.log
qlsa-paper-sb-omp,eil76,76,300000,402,nn,32,8,omp,543,543,1040.724,5582554,832651,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.50_20260623_005807_123445.log
qlsa-paper-sb-omp,eil76,76,300000,403,nn,32,8,omp,547,547,1108.419,5674600,766212,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.50_20260623_005807_123445.log
qlsa-paper-sb-omp,eil76,76,300000,401,nn,32,8,omp,545,545,858.563,5720680,782867,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.70_20260623_005810_068902.log
qlsa-paper-sb-omp,eil76,76,300000,402,nn,32,8,omp,543,543,899.310,5823427,919092,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.70_20260623_005810_068902.log
qlsa-paper-sb-omp,eil76,76,300000,403,nn,32,8,omp,542,542,827.636,5801772,789125,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil76_paper-sb_softmax_0.70_20260623_005810_068902.log
qlsa-omp,rat99,99,300000,401,nn,32,8,omp,1231,1231,170.204,2069771,994400,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\rat99_current_epsilon-greedy_na_20260623_005812_668625.log
qlsa-omp,rat99,99,300000,402,nn,32,8,omp,1245,1245,175.249,2069265,994702,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\rat99_current_epsilon-greedy_na_20260623_005812_668625.log
qlsa-omp,rat99,99,300000,403,nn,32,8,omp,1239,1239,151.659,2070387,994987,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\rat99_current_epsilon-greedy_na_20260623_005812_668625.log
qlsa-omp,rat99,99,300000,401,nn,32,8,omp,1265,1265,251.708,2046429,983209,current,softmax,,results\logs\qlsa_variant_alignment\rat99_current_softmax_na_20260623_005813_193504.log
qlsa-omp,rat99,99,300000,402,nn,32,8,omp,1262,1262,260.358,2044425,984495,current,softmax,,results\logs\qlsa_variant_alignment\rat99_current_softmax_na_20260623_005813_193504.log
qlsa-omp,rat99,99,300000,403,nn,32,8,omp,1289,1290,254.309,2046388,987025,current,softmax,,results\logs\qlsa_variant_alignment\rat99_current_softmax_na_20260623_005813_193504.log
qlsa-paper-omp,rat99,99,300000,401,nn,32,8,omp,1241,1241,681.461,5849613,586015,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\rat99_paper_epsilon-greedy_na_20260623_005813_980567.log
qlsa-paper-omp,rat99,99,300000,402,nn,32,8,omp,1265,1265,653.295,5856219,585876,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\rat99_paper_epsilon-greedy_na_20260623_005813_980567.log
qlsa-paper-omp,rat99,99,300000,403,nn,32,8,omp,1250,1250,649.106,5830987,583999,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\rat99_paper_epsilon-greedy_na_20260623_005813_980567.log
qlsa-paper-omp,rat99,99,300000,401,nn,32,8,omp,1236,1236,782.048,5792795,624333,paper,softmax,,results\logs\qlsa_variant_alignment\rat99_paper_softmax_na_20260623_005815_978941.log
qlsa-paper-omp,rat99,99,300000,402,nn,32,8,omp,1242,1242,782.780,5817706,620543,paper,softmax,,results\logs\qlsa_variant_alignment\rat99_paper_softmax_na_20260623_005815_978941.log
qlsa-paper-omp,rat99,99,300000,403,nn,32,8,omp,1264,1264,767.931,5801120,625899,paper,softmax,,results\logs\qlsa_variant_alignment\rat99_paper_softmax_na_20260623_005815_978941.log
qlsa-paper-sb-omp,rat99,99,300000,401,nn,32,8,omp,1237,1237,733.382,5710543,526759,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.30_20260623_005818_325802.log
qlsa-paper-sb-omp,rat99,99,300000,402,nn,32,8,omp,1253,1253,718.577,5694961,526650,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.30_20260623_005818_325802.log
qlsa-paper-sb-omp,rat99,99,300000,403,nn,32,8,omp,1260,1260,694.429,5695869,527084,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.30_20260623_005818_325802.log
qlsa-paper-sb-omp,rat99,99,300000,401,nn,32,8,omp,1261,1261,710.734,5789880,500392,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.50_20260623_005820_484246.log
qlsa-paper-sb-omp,rat99,99,300000,402,nn,32,8,omp,1262,1262,684.205,5795536,497960,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.50_20260623_005820_484246.log
qlsa-paper-sb-omp,rat99,99,300000,403,nn,32,8,omp,1244,1244,684.401,5790690,498453,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.50_20260623_005820_484246.log
qlsa-paper-sb-omp,rat99,99,300000,401,nn,32,8,omp,1244,1244,707.611,5866780,519105,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.70_20260623_005822_576400.log
qlsa-paper-sb-omp,rat99,99,300000,402,nn,32,8,omp,1265,1265,676.851,5867866,518520,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.70_20260623_005822_576400.log
qlsa-paper-sb-omp,rat99,99,300000,403,nn,32,8,omp,1254,1254,674.879,5859290,508013,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\rat99_paper-sb_epsilon-greedy_0.70_20260623_005822_576400.log
qlsa-paper-sb-omp,rat99,99,300000,401,nn,32,8,omp,1243,1243,858.852,5539074,541798,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.30_20260623_005824_647828.log
qlsa-paper-sb-omp,rat99,99,300000,402,nn,32,8,omp,1252,1252,864.798,5507335,543641,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.30_20260623_005824_647828.log
qlsa-paper-sb-omp,rat99,99,300000,403,nn,32,8,omp,1257,1257,888.865,5497291,531934,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.30_20260623_005824_647828.log
qlsa-paper-sb-omp,rat99,99,300000,401,nn,32,8,omp,1243,1243,835.277,5729017,552736,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.50_20260623_005827_275344.log
qlsa-paper-sb-omp,rat99,99,300000,402,nn,32,8,omp,1252,1252,844.560,5533772,532621,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.50_20260623_005827_275344.log
qlsa-paper-sb-omp,rat99,99,300000,403,nn,32,8,omp,1257,1257,980.818,5421879,487664,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.50_20260623_005827_275344.log
qlsa-paper-sb-omp,rat99,99,300000,401,nn,32,8,omp,1242,1242,995.771,5645896,564616,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.70_20260623_005829_949422.log
qlsa-paper-sb-omp,rat99,99,300000,402,nn,32,8,omp,1250,1250,901.344,5659896,547370,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.70_20260623_005829_949422.log
qlsa-paper-sb-omp,rat99,99,300000,403,nn,32,8,omp,1257,1257,965.483,5487996,492014,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\rat99_paper-sb_softmax_0.70_20260623_005829_949422.log
qlsa-omp,eil101,101,300000,401,nn,32,8,omp,654,654,172.700,2718618,1285433,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil101_current_epsilon-greedy_na_20260623_005832_827354.log
qlsa-omp,eil101,101,300000,402,nn,32,8,omp,649,650,155.561,2720087,1284054,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil101_current_epsilon-greedy_na_20260623_005832_827354.log
qlsa-omp,eil101,101,300000,403,nn,32,8,omp,649,649,149.145,2720184,1284360,current,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil101_current_epsilon-greedy_na_20260623_005832_827354.log
qlsa-omp,eil101,101,300000,401,nn,32,8,omp,647,647,288.199,2721245,1281669,current,softmax,,results\logs\qlsa_variant_alignment\eil101_current_softmax_na_20260623_005833_331320.log
qlsa-omp,eil101,101,300000,402,nn,32,8,omp,653,653,271.908,2715590,1282799,current,softmax,,results\logs\qlsa_variant_alignment\eil101_current_softmax_na_20260623_005833_331320.log
qlsa-omp,eil101,101,300000,403,nn,32,8,omp,651,651,285.659,2718004,1282383,current,softmax,,results\logs\qlsa_variant_alignment\eil101_current_softmax_na_20260623_005833_331320.log
qlsa-paper-omp,eil101,101,300000,401,nn,32,8,omp,645,645,743.143,6090571,867068,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil101_paper_epsilon-greedy_na_20260623_005834_192217.log
qlsa-paper-omp,eil101,101,300000,402,nn,32,8,omp,641,641,746.232,6096874,867502,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil101_paper_epsilon-greedy_na_20260623_005834_192217.log
qlsa-paper-omp,eil101,101,300000,403,nn,32,8,omp,641,641,682.828,6095910,867604,paper,epsilon-greedy,,results\logs\qlsa_variant_alignment\eil101_paper_epsilon-greedy_na_20260623_005834_192217.log
qlsa-paper-omp,eil101,101,300000,401,nn,32,8,omp,641,641,779.248,5987645,918509,paper,softmax,,results\logs\qlsa_variant_alignment\eil101_paper_softmax_na_20260623_005836_381573.log
qlsa-paper-omp,eil101,101,300000,402,nn,32,8,omp,639,639,811.370,5970553,914029,paper,softmax,,results\logs\qlsa_variant_alignment\eil101_paper_softmax_na_20260623_005836_381573.log
qlsa-paper-omp,eil101,101,300000,403,nn,32,8,omp,637,637,838.269,5955679,904147,paper,softmax,,results\logs\qlsa_variant_alignment\eil101_paper_softmax_na_20260623_005836_381573.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,641,641,743.722,5876491,806285,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.30_20260623_005838_824189.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,642,642,683.926,5890450,805229,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.30_20260623_005838_824189.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,642,642,687.102,5886275,806757,paper-sb,epsilon-greedy,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.30_20260623_005838_824189.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,635,635,736.959,5986159,739283,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.50_20260623_005840_955719.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,634,634,691.890,5974009,736626,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.50_20260623_005840_955719.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,643,643,691.160,5985236,738072,paper-sb,epsilon-greedy,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.50_20260623_005840_955719.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,639,639,718.315,6042586,702326,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.70_20260623_005843_089333.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,639,639,687.067,6043400,701642,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.70_20260623_005843_089333.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,640,640,687.317,6046870,707387,paper-sb,epsilon-greedy,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_epsilon-greedy_0.70_20260623_005843_089333.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,643,643,945.864,5711664,823140,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.30_20260623_005845_195112.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,641,641,949.461,5657431,800178,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.30_20260623_005845_195112.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,637,637,1004.347,5776857,835057,paper-sb,softmax,0.30,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.30_20260623_005845_195112.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,632,632,925.289,5840801,802947,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.50_20260623_005848_108751.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,636,636,1206.127,5781573,825404,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.50_20260623_005848_108751.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,637,637,1261.034,5677281,762826,paper-sb,softmax,0.50,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.50_20260623_005848_108751.log
qlsa-paper-sb-omp,eil101,101,300000,401,nn,32,8,omp,639,639,949.382,5866016,836698,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.70_20260623_005851_518026.log
qlsa-paper-sb-omp,eil101,101,300000,402,nn,32,8,omp,640,640,934.763,5905411,865511,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.70_20260623_005851_518026.log
qlsa-paper-sb-omp,eil101,101,300000,403,nn,32,8,omp,637,637,1023.285,5764765,773025,paper-sb,softmax,0.70,results\logs\qlsa_variant_alignment\eil101_paper-sb_softmax_0.70_20260623_005851_518026.log
